age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,3,77516,13,1,3,1,0,0,2174,0,40,0,0
50,1,83311,13,0,2,0,0,0,0,0,13,0,0
38,0,215646,9,2,3,1,0,0,0,0,40,0,0
53,0,234721,7,0,3,0,1,0,0,0,40,0,0
28,0,338409,13,0,0,3,1,1,0,0,40,3,0
37,0,284582,14,0,2,3,0,1,0,0,40,0,0
49,0,160187,5,3,3,1,1,1,0,0,16,3,0
52,1,209642,9,0,2,0,0,0,0,0,45,0,1
31,0,45781,14,1,0,1,0,1,14084,0,50,0,1
42,0,159449,13,0,2,0,0,0,5178,0,40,0,1
37,0,280464,10,0,2,0,1,0,0,0,80,0,1
30,3,141297,13,0,0,0,2,0,0,0,40,3,1
23,0,122272,13,1,3,2,0,1,0,0,30,0,0
32,0,205019,12,1,3,1,1,0,0,0,50,0,0
40,0,121772,11,0,1,0,2,0,0,0,40,2,1
34,0,245487,4,0,3,0,3,0,0,0,45,1,0
25,1,176756,9,1,3,2,0,0,0,0,35,0,0
32,0,186824,9,1,3,3,0,0,0,0,40,0,0
38,0,28887,7,0,3,0,0,0,0,0,50,0,0
43,1,292175,14,2,2,3,0,1,0,0,45,0,1
40,0,193524,16,0,0,0,0,0,0,0,60,0,1
54,0,302146,9,3,3,3,1,1,0,0,20,0,0
35,3,76845,5,0,3,0,1,0,0,0,40,0,0
43,0,117037,7,0,3,0,0,0,0,2042,40,0,0
59,0,109015,9,2,3,3,0,1,0,0,40,0,0
56,2,216851,13,0,3,0,0,0,0,0,40,0,1
19,0,168294,9,1,1,2,0,0,0,0,40,0,0
54,3,180211,10,0,3,0,2,0,0,0,60,3,1
39,0,367260,9,2,2,1,0,0,0,0,80,0,0
49,0,193366,9,0,1,0,0,0,0,0,40,0,0
23,2,190709,12,1,3,1,0,0,0,0,52,0,0
20,0,266015,10,1,3,2,1,0,0,0,44,0,0
45,0,386940,13,2,2,2,0,0,0,1408,40,0,0
30,3,59951,10,0,3,2,0,0,0,0,40,0,0
22,3,311512,10,0,3,0,1,0,0,0,15,0,0
48,0,242406,7,1,3,3,0,0,0,0,40,3,0
21,0,197200,10,1,3,2,0,0,0,0,40,0,0
19,0,544091,9,3,3,3,0,1,0,0,25,0,0
31,0,84154,10,0,3,0,0,0,0,0,38,2,1
48,1,265477,12,0,0,0,0,0,0,0,40,0,0
31,0,507875,5,0,3,0,0,0,0,0,43,0,0
53,1,88506,13,0,0,0,0,0,0,0,40,0,0
24,0,172987,13,0,3,0,0,0,0,0,50,0,0
49,0,94638,9,3,3,3,0,1,0,0,40,0,0
25,0,289980,9,1,3,1,0,0,0,0,35,0,0
57,3,337895,13,0,0,0,1,0,0,0,40,0,1
53,0,144361,9,0,3,0,0,0,0,0,38,0,0
44,0,128354,14,2,2,3,0,1,0,0,40,0,0
41,3,101603,11,0,1,0,0,0,0,0,40,0,0
29,0,271466,11,1,0,1,0,0,0,0,43,0,0
25,0,32275,10,0,2,3,3,1,0,0,40,0,0
18,0,226956,9,1,3,2,0,1,0,0,30,2,0
47,0,51835,15,0,0,3,0,1,0,1902,60,3,1
50,3,251585,13,2,2,1,0,0,0,0,55,0,1
47,3,109832,9,2,2,1,0,0,0,0,60,0,0
43,0,237993,10,0,3,0,0,0,0,0,40,0,1
46,0,216666,3,0,3,0,0,0,0,0,40,1,0
35,0,56352,11,0,3,0,0,0,0,0,40,3,0
41,0,147372,9,0,3,0,0,0,0,0,48,0,0
30,0,188146,9,0,3,0,0,0,5013,0,40,0,0
30,0,59496,13,0,3,0,0,0,2407,0,40,0,0
32,3,293936,4,3,3,1,0,0,0,0,40,2,0
48,0,149640,9,0,3,0,0,0,0,0,40,0,0
42,0,116632,16,0,0,0,0,0,0,0,45,0,1
29,0,105598,10,2,3,1,0,0,0,0,58,0,0
36,0,155537,9,0,1,0,0,0,0,0,40,0,0
28,0,183175,10,2,3,1,0,1,0,0,40,0,0
53,0,169846,9,0,3,3,0,1,0,0,40,0,1
49,3,191681,10,0,2,0,0,0,0,0,50,0,1
25,3,200681,10,1,3,2,0,0,0,0,40,0,0
19,0,101509,10,1,0,2,0,0,0,0,32,0,0
31,0,309974,13,3,3,2,1,1,0,0,40,0,0
29,1,162298,13,0,3,0,0,0,0,0,70,0,1
23,0,211678,10,1,3,1,0,0,0,0,40,0,0
79,0,124744,10,0,0,3,0,0,0,0,20,0,0
27,0,213921,9,1,3,2,0,0,0,0,40,1,0
40,0,32214,12,0,3,0,0,0,0,0,40,0,0
67,3,212759,6,0,3,0,0,0,0,0,2,0,0
18,0,309634,7,1,3,2,0,1,0,0,22,0,0
31,2,125927,4,0,3,0,0,0,0,0,40,0,0
18,0,446839,9,1,3,1,0,0,0,0,30,0,0
52,0,276515,13,0,3,0,0,0,0,0,40,3,0
46,0,51618,9,0,3,3,0,1,0,0,40,0,0
59,0,159937,9,0,3,0,0,0,0,0,48,0,0
44,0,343591,9,2,1,1,0,1,14344,0,40,0,1
53,0,346253,9,2,3,2,0,1,0,0,35,0,0
49,2,268234,9,0,3,0,0,0,0,0,40,0,1
33,0,202051,14,0,0,0,0,0,0,0,50,0,0
30,0,54334,5,1,3,1,0,0,0,0,40,0,0
43,3,410867,16,1,0,1,0,1,0,0,50,0,1
57,0,249977,11,0,0,0,0,0,0,0,40,0,0
